scanned_at,strategy,sport,market,line,home,away,kickoff,side,book,odds,impl_raw,impl_effective,edge,edge_gross,effective_odds,commission_rate,consensus,pinnacle_cons,n_books,confidence,model_signal,dispersion,outlier_z,stake,pinnacle_close_prob,clv_pct
2026-04-29 13:12 UTC,D_pinnacle_only,EPL,h2h,,Nottingham Forest,Newcastle United,2026-05-10 13:00,DRAW,smarkets,3.55,0.2817,0.2858,-0.0093,0.0492,3.499,0.02,0.2765,0.2765,31,HIGH,+0.030,0.0102,0.0,0.0,,
2026-04-29 13:12 UTC,D_pinnacle_only,EPL,h2h,,Fulham,Bournemouth,2026-05-09 14:00,DRAW,smarkets,3.7,0.2703,0.2743,-0.0153,0.0528,3.646,0.02,0.259,0.259,32,HIGH,+0.028,0.0104,0.0,0.0,,
2026-04-29 13:12 UTC,D_pinnacle_only,EPL,h2h,,Tottenham Hotspur,Leeds United,2026-05-11 19:00,HOME,smarkets,2.16,0.463,0.468,-0.0165,0.0439,2.1368,0.02,0.4515,0.4515,31,HIGH,-0.041,0.0144,0.0,0.0,,
2026-04-29 13:12 UTC,D_pinnacle_only,EPL,h2h,,West Ham United,Arsenal,2026-05-10 15:30,DRAW,smarkets,4.1,0.2439,0.2476,-0.0176,0.1071,4.038,0.02,0.23,0.23,31,HIGH,+0.237,0.02,0.0,0.0,,
2026-04-29 13:12 UTC,D_pinnacle_only,EPL,h2h,,Tottenham Hotspur,Leeds United,2026-05-11 19:00,DRAW,smarkets,3.6,0.2778,0.2818,-0.0213,0.0311,3.548,0.02,0.2606,0.2606,31,HIGH,-0.082,0.0076,0.0,0.0,,
2026-04-29 13:12 UTC,D_pinnacle_only,EPL,h2h,,West Ham United,Arsenal,2026-05-10 15:30,AWAY,smarkets,1.66,0.6024,0.6072,-0.0221,0.1483,1.6468,0.02,0.5852,0.5852,31,HIGH,-0.245,0.028,0.0,0.0,,
2026-04-29 13:12 UTC,D_pinnacle_only,EPL,h2h,,Fulham,Bournemouth,2026-05-09 14:00,AWAY,smarkets,2.52,0.3968,0.4017,-0.0327,0.0434,2.4896,0.02,0.369,0.369,32,HIGH,+0.024,0.009,0.0,0.0,,
2026-04-29 13:12 UTC,D_pinnacle_only,Bundesliga,h2h,,Union Berlin,1. FC Köln,2026-05-02 13:30,DRAW,boylesports,3.4,0.2941,0.2941,-0.0028,0.032,3.4,0.0,0.2913,0.2913,41,HIGH,?,0.0092,0.0,0.0,,
2026-04-29 13:12 UTC,D_pinnacle_only,Bundesliga,h2h,,Augsburg,Borussia Monchengladbach,2026-05-09 13:30,DRAW,smarkets,3.7,0.2703,0.2743,-0.0108,0.0479,3.646,0.02,0.2635,0.2635,31,HIGH,+0.079,0.0094,0.0,0.0,,
2026-04-29 13:12 UTC,D_pinnacle_only,Bundesliga,h2h,,FSV Mainz 05,Union Berlin,2026-05-10 17:30,DRAW,smarkets,3.3,0.303,0.3073,-0.0577,0.0792,3.254,0.02,0.2496,0.2496,30,HIGH,?,0.0162,0.0,0.0,,
2026-04-29 13:12 UTC,D_pinnacle_only,Serie A,h2h,,Torino,Sassuolo,2026-05-08 18:45,DRAW,betfred_uk,3.4,0.2941,0.2941,0.0133,0.0332,3.4,0.0,0.3075,0.3075,30,HIGH,+0.078,0.0122,0.0,9.48,,
2026-04-29 13:12 UTC,D_pinnacle_only,Serie A,h2h,,Hellas Verona,Como,2026-05-10 10:30,HOME,livescorebet,7.5,0.1333,0.1333,0.0018,0.0324,7.5,0.0,0.1352,0.1352,27,MED,+0.171,0.0126,0.0,1.08,,
2026-04-29 13:12 UTC,D_pinnacle_only,Championship,h2h,,Sheffield Wednesday,West Bromwich Albion,2026-05-02 11:30,HOME,grosvenor,6.25,0.16,0.16,0.0144,0.0348,6.25,0.0,0.1744,0.1744,37,HIGH,+0.422,0.0107,0.0,8.57,,
2026-04-29 13:12 UTC,D_pinnacle_only,Championship,h2h,,Derby County,Sheffield United,2026-05-02 11:30,HOME,casumo,1.74,0.5747,0.5747,0.0076,0.0313,1.74,0.0,0.5824,0.5824,40,HIGH,-0.134,0.0098,0.0,9.04,,
2026-04-29 13:12 UTC,D_pinnacle_only,Championship,h2h,,Ipswich Town,Queens Park Rangers,2026-05-02 11:30,AWAY,livescorebet,10.0,0.1,0.1,0.004,0.0323,10.0,0.0,0.104,0.104,38,HIGH,?,0.0109,0.0,2.22,,
2026-04-29 13:12 UTC,D_pinnacle_only,Championship,h2h,,Preston North End,Southampton,2026-05-02 11:30,HOME,livescorebet,3.2,0.3125,0.3125,-0.0029,0.0326,3.2,0.0,0.3096,0.3096,39,HIGH,-0.195,0.0113,0.0,0.0,,
2026-04-29 13:12 UTC,D_pinnacle_only,Ligue 1,h2h,,Angers,Strasbourg,2026-05-10 19:00,HOME,leovegas,3.7,0.2703,0.2703,0.0025,0.0325,3.7,0.0,0.2728,0.2728,25,MED,-0.034,0.014,0.0,1.73,,
2026-04-29 13:12 UTC,D_pinnacle_only,Ligue 1,h2h,,Rennes,Paris FC,2026-05-10 19:00,AWAY,smarkets,5.6,0.1786,0.1816,-0.0176,0.0342,5.508,0.02,0.1639,0.1639,25,MED,+0.048,0.0107,0.0,0.0,,
2026-04-29 13:12 UTC,D_pinnacle_only,Bundesliga 2,h2h,,Hannover 96,SC Preußen Münster,2026-05-03 11:30,HOME,casumo,1.38,0.7246,0.7246,0.0093,0.0443,1.38,0.0,0.7339,0.7339,38,HIGH,?,0.0123,0.0,16.82,,
2026-04-29 13:12 UTC,D_pinnacle_only,Bundesliga 2,h2h,,Elversberg,SC Paderborn,2026-05-03 11:30,DRAW,smarkets,3.95,0.2532,0.257,-0.024,0.0496,3.891,0.02,0.233,0.233,38,HIGH,?,0.0101,0.0,0.0,,
2026-04-29 13:12 UTC,D_pinnacle_only,Bundesliga 2,h2h,,Dynamo Dresden,1. FC Kaiserslautern,2026-05-02 11:00,HOME,betfair_sb_uk,1.8,0.5556,0.5556,-0.0283,0.0304,1.8,0.0,0.5272,0.5272,39,HIGH,?,0.0088,0.0,0.0,,
2026-04-29 13:12 UTC,D_pinnacle_only,Bundesliga 2,h2h,,Karlsruher SC,SV Darmstadt 98,2026-05-03 11:30,AWAY,betfair_ex_uk,2.16,0.463,0.4757,-0.0509,0.2316,2.102,0.05,0.4248,0.4248,38,HIGH,-0.028,0.0382,0.0,0.0,,
